essay_id	essay_set	essay	domain1_score
112	1	Dear @PERSON1, @CAPS1 these days are telling kids to go outside instead of vegging out in front of a computer. Computers can but promote bad habits. I try not to use the computer unless I have too for school or to get homework. Please consider the negative effects which are exercising in apropprate content and less interaction with friends/family. Yes internets can be used to find diets and exercise plans but if you would just go to the gym to burn of those pounds everything would be just fine! Internet and computers are designed to suck in your brain, and attack you to all the websites and neat little things. It is more effective just to go to a local @ORGANIZATION2 or @ORGANIZATION1 to work out. I swim on a swim team for a @ORGANIZATION2. I love swimming better than going on the computer. It satisfies my personal needs of exercising. I lost @NUM1 pounds by just swimming for a month. I will run on the tred mill to help me burn of stress or anger. Gyms are way better than computers. I know most of us have seen something inapropprate on the computer. Yes computers give people jobs but there is no need to post pictures or messages that will hurt peoples feelings. I know the other day I saw a really mean comment that made me feel bad for the victim. I know youtube is trying to stop inappropriate content, so hurray for them. Once you give something to the internet it is lost forever. Yes computers have ways to keep in touch with friends but it is better to @CAPS3 or visit in person. Like my @CAPS2 always said," @CAPS3 more, it builds character!" @CAPS4 ever I get the chance I @CAPS3 my best buddies instead of using the computer. Kids theses days can be mean with out try. You disconnect yourself from your family. Because computers attrack users, there are times where you don't pay attention to others around you. @PERCENT1 of kids donot do there home work because of computers. Thank you for your time. I think computers are bad and everyone would be happy with out them. They help the obesity level in the nation, let cyber bullying and inappronrate content flow around the internet and lastly block you out from the world. ( @CAPS5.S someday computers are going to take over the world and you will be sorry you didn't listen to me.)	10
113	1	Dear @CAPS1 paper, @CAPS2 name is @PERSON1 and I am writing this letter on the count of the computer issue. @CAPS2 look on this subject is the oppisite. People @MONTH1 spend more time on the computer then exercising, but theycould still be social in chat rooms. People can use laptops out doors. You can spread your imagination with the games you can play. Lets get onto @CAPS2 first point, being social. The experts say that people are spending less time with there friends and family then on the computer. They @MONTH1 be spending less time with there friend and family physicly, but who said there not being social. Theres facebook, @CAPS3, and chat rooms. You can talk to your friend on there so they on being social. Not being physicly social but verbily social. On to @CAPS2 next subject the expert say were not enjoying out doors, but the over looked something here it is. If were not enjoying outdoors then half of amarica would be as plae as can be. Then theres laptops. You can use thoughs out doors. People that have laptops can go outside on a sunny day grab some fruit and relax. You could stay out there till the batterie deis. Then just grab the pluge and keep relaxing its easy. Computers also help your imagination. Some computer games help expand your imagination because when your playing games you think of things that could make the game better. Simulaters help you design or even controll things. Some games allow you design and play as a character you created. They help you jobs that you might be intrested in. For me computer games expanded @CAPS2 drawing. All these thing can be reversed. No one is a robot that repeats what they do over and over again. Humanity has the power to get off the computer, and go outside or be social. As I just proved everything you can physicly you can do on the computer.	10
114	1	Dear @CAPS1 @CAPS2, Computers do put possitive affect on people and it also teaches us. So I think computers are very important and they are needed in people lives. We learn information about the world and about what is going on. It also helps us comunicate with friends and family. Lastly it can help us gather information for homework and projects. First, while we are on the computer it tells us baout the world and different countries. The computers tell us how the war is and about what the president is doing. The computer also gives us information about local news such as weather, traffic reports and if there has been a crime that has happended. We also can find out about the stockmarket which is very important to many people. Second, the computer gives the ability to talk with friends and family. AIM, @CAPS3, and @CAPS4 are all different ways to interact with each other. Also if we didn't hand something in at school we could always just e-mail our teachers the information that they might need by a spacific date, if a student forgets what the homework was we can just ask on the computer. Many people find old friends that they haven't seen in years, and getting to see them again and how their family is, it could make someone feel happy about knowing that their old friend has grown happy. Lastly, if students have project or homework that they need information on the computer could always help. On the computer there is a lot of information about people, places, thing, and anything you want to know. The computer gives you answer to question you @MONTH1 have. You can get pictures and information of the thing you are looking up. It also gives you location and dates of different events that have happened in what you are looking up. Computers are very useful when it comes to sudents education. In conclusion, Computers are a very important part of everyones life. To learn about information that is happening in the world, to talk to friends or family, and to help with school work. Even if people aren't exercising they are increasing their education by finding information. You can still enjoy nature, but not as much as ussuall; you still spend time with family and friends by comunicating on the computer. Computers are one of the gratest inventions, and does have a positive effect on people. 	10
115	1	Dear Newspaper people, @CAPS1! Isn't computers just swell? I mean why aren't they you can one learn up on your knowledge, two you can play alot of fun games, and last but not least we can talk to our friend. Well I hope you enjoy my essay about the computer world. Have you ever had any diffuclty finding something in a libery? Well forget your libery cards just go on the computer's @CAPS2. On there you can fin what ever your looking for. One time I was doing a project on my favorite rocker @ORGANIZATION1, so my mom told me to check the libery for a book on him but I couldn't find one. So instead I just jumped on my computer but not really jump on @CAPS4 but any way so I went on the @CAPS2 and guess what! I found all I needed to know about him getting me that rocking at on my project. i mean ther's alot more you can learn with the computer like what's going on in the world around us or even learn about little world around us or even learn about little insects to big plants. Well that's what I got for using the @CAPS2 for knowledge. Welcome back! Well now I'm going to tell you about a few games you can play on the computer. The game I'm going to tell you about is my favorite game and @CAPS4's called left @NUM1 dead @NUM2; @CAPS5 you never played the game your probably like that game sound really hard and scary well @CAPS4 is. i'm just kidding @CAPS4 can be hard at first and a little scary but @CAPS4's still fun. Another game I enjoy playing is a online game called, '@PERSON1," the game is fun and all but @CAPS4 takes a while to do and kill the fun stuff. For example I'm a lvl. @NUM3 mage and I can take on lvl. @NUM4 @CAPS7 because I can use high leveled spells. but anyways there alot of things to do on a computer. Like me you can kill zombie hared or just do a quest or two, who cares @CAPS4's in you hands have fun. Now the last thing I'm going to tell you about is how you can talk to you friends over the @CAPS2. well like me I moved so I couldn't really hangout with my friends so I got there @CAPS9-mail so now I can talk and see my friends on a webcam. Another good reason to be able to use the @CAPS10 or computer is you can talk to family members who joined the @ORGANIZATION2. My uncle joined the @ORGANIZATION2 and he's going to be leaving soon so I'm to be wanting to see him so I'll see him on webcam or be able to chat with him. Well that my reason why @CAPS4's a good reason to have a computer. One you can use @CAPS4 to learn, two some hard care gaming, and three just talk to friends. Thank you and have a nice day.	10
116	1	I agree with the newspaper, people are spending too much time on the computer and not exercising. everyone knows computers addictive. but people need to get out more. but people making it more addicting by creating things such as never ending games and its distracting people from there life, family, work and exercise.	10
117	1	Dear Local Newspaper: @CAPS1 you think computers are great for everyone? I think computers are one of the greatest inventions ever. What's really great about them is how much you can learn from computers. You can learn hand-eye coordination, learn about faraway places, and talk online to people. Surely, read on to see why computers are very important to us all. Many people think that computers are bad for our mind, but actually they're not. When on computers you can learn hand-eye coordination. You can be able to type well and very fast after a while and improve your eye sight by reading your writing or notes for a paper. Lastly, you can even have fun, relax, and type out your papers for reports. Definitely, read on to see what computers can @CAPS1 too. They're a lot of faraway places that have their own specil way of showing you a great time. On the internet, that have a list of vacation spots or places that grab your attention to visit. They give you details on why to visit it and a fair price. Think about it, would it be cool to visit a great place, like @LOCATION1. Without a doubt, continue reading. Have you ever wanted to play outside but it was raining or your friends were not around. Well, on the computer you can talk online to your friends. You can see how their doing or what their doing and still have a good time. Not to mention, you can even make new friends. Lots of kids and teens go online to make new friends. Surely, you should agree that computers are great. I think computers are very unique and important. That's why so many kids to adults use it the computers so much. They use it to learn hand-eye coordination, learn about faraway places, and talk online to other. Thank you for reading my paper local newspaper.	8
118	1	Dear Local Newspaper @CAPS1, @CAPS2 our technology advance, so do are lives. Computers are a perfect way to better our way of life in ways that are benificial to us and future generations. The use of computers, and the @CAPS5 alone allow us to learn about the way of life in other places on @LOCATION4 talk to people faraway, and express ourselves. Computers give us a bright future. First many people, actually @PERCENT1 of the worlds population are generally stationary, and line in a local town or city environments. This is why computers are so helpful because they give @CAPS2 a way to research other places around the globe. @CAPS3 can create an interest in other cultures, and shape our opinions @CAPS2 @CAPS3 discover things about other places. From there, @CAPS3 can look at different topics in a wide spread point of view. In doing this @CAPS3 will connect to other ways of life. @CAPS2 philosopher and poet @PERSON1 state" @CAPS3 learn about ourselves through the discovery of others." @CAPS4, another particularly handy function of the @CAPS5 through computers is @CAPS3 can communicate with people who live far away, when @CAPS3 couldn't visit otherwise. A @LOCATION2 study showed that actually @PERCENT2 of use of the computer is communication with sites like facebook or @CAPS9. A scientist in @LOCATION3, @PERSON3, says @CAPS3 @CAPS2 humans tend to enjoy communication because it gives @CAPS2 a sense of unity. This is why so many companies are realizing that sites like @ORGANIZATION2, @CAPS6, and @ORGANIZATION1 are gaining in popularity." And this is true. It is enjoyable to @CAPS7, talk, or email others. Without computers, this couldn't be possible. Lastly, computers give us the chance to express our ideas like never before. Now, stars aren't only made in @LOCATION1, but now you can make yourself famous on @CAPS8 or @CAPS9. Just ask @PERSON2, who's voice reached out and caught the attention of a major record company. Now, everyone knows his name and listens to his music. Like @PERSON2, the more wordy folks can express themselves by blogging their opinions. " About half of computer use, " says @CAPS1 to computer weekly, @PERSON4," is using blogs and videos to state one's ideas." @CAPS3 can persuade others to think @CAPS2 @CAPS3 do and discover thngs that @CAPS3 have discovered. Self-expression is very important to society, and this is why computers have such an affect on people. @CAPS2 it is clear, computers have a positive affect on people and society. They allow us to learn about faraway places, communicate with others, and inspire the world around us with our ideas. Welcome to the future.	12
119	1	Dear People of @LOCATION2, @CAPS1 many hours a day do you spend being active? Now answer me this, @CAPS1 much time do you spend on you computer? To many @CAPS2 today are sitting down in front of a computer, laptop, ecetra, while not enough are lacing up their shoes for a jog. Computers are ruining us, they deter our social skills, damage our health and cause us to be lazy. They are unbenificial to our society. To start with, millions of people sign up for @CAPS3, @CAPS4, and other website like these to reconnect with people. Do you realize what this means? Now no one has to get in a car and go visit any one else. There is no longer a need to interact with other life forms, nor is there a want to. Lets say there's a woman sitting on her couch. All of a sudden her face lights up with the thought of her friend @PERSON1. She gets up to go start the car, but hey eye catches on the computer. She bites her lip, trying to decide wether to go see her, or have an online chat. Feeling lazy, she sits down. Do you really want that happening to everyone? To late it already has. Moving along, i'd like to take a moment to talk about our health. As most of us knows, fresh air is good for us. Imagine this, you're walking through the woods on a trail. The crisp, cool air, tickles you skin, and breathing it in just makes you smile. Your entire body feels energized from the treking. With passels of days like this ahead, you can'@CAPS7 wait. Now imagine this, your sitting in front of a computer, in a hot, stuffy room. You back aches from being in this posistion so long. Plus you think your getting a cold and you have migrane. You'd get off, but you have another app request. You @CAPS6'@CAPS7 feel like moving back to reality which do you prefer? Above and beyond all this, there's exercise to worry about. I mean, when's the last time that you yourself went on a bike ride? I'm sure you know that it's good for your body if you exercise, but your to busy on the computer. I think it's safe to say that half of @LOCATION1 would rather update their @CAPS4 than get up and move. It's crucial to our health that we get active. To sum up, alot of us are pondering wether or not to spend more time on the compuer. Well here's you answer, "@CAPS6'@CAPS7." Not enough people are interacting now a days, their spending the best years of their lifes stuffed up in a house, and most importantly, let's face it, their getting fat. Computers are taking over our lives it's now, or never, make the change to a better and more satisying lifestyle. Please @LOCATION1, turn off the computer.	10
120	1	Dear @CAPS1: The effects that computers have on me is that it teaches me hand-eye coordination. I learn stuff from the computer, and it is a fun thing to go on. But, I mean those are only my opinions. Well im gonna just go ahead and explain them to you. The good thing about computers is that it teaches you hand-eye coordination which helps you see better with your eyes. Also it helps you with your hands by making you learn how to catch stuff and how to react quickly with your hands. For example I was playing baseball and I couldn't catch very good and I was also learning how to use the computer and because I was able to type fast my hands reacted when I got grounders and pop fly's hit to me. So I was so happy that I lerned how to use the computer and type. But for sure the computer is the best because you can research stuff and you find out more important facts. Also you are learnen more when ever you research anything. I'll tell you one thing though, I like the computer so much because it helps me find out important details and facts about the person that I am doing my project on. Yes I know the computer is so fun because you can go on different websites such as myspace.com, youtube.com, and funnyjunk.com. I go on mspace to talk to my friends and to meet new people that's what I like about myspace I meet new people and make new friends. I go on youtube because I like to listen to music and I watch music videos on their also I watch skate board videos too cause I love to skate! But one thing for sure is that I go on funnyjunk.com to play games cause they have so much fun games that you can play. But my favorite game is @CAPS2 the hedgehog. In conclusion those are @NUM1 opinions and @NUM1 reasons to support the effects about computers. So I want you to think about some effects about computers and your opinions about computers and compare them to my opinions? But hey! That's up to you only if you want to.	8
121	1	Do you think computers are helpful? Well you should because, They are the most help full object on the market, also @CAPS8 famly members live far away you can im, facebook them or even send @CAPS1 and to them. The main thing for tenes or chidren is easly the enjoyment you could watch your favort showes with a click of the mouse or even play freefun games. The coumputer is a very help full object. @CAPS4 you have bad handwriting and a report is due you go and tipe @CAPS8 up on your computer, and your teacher will think you spent all night. Doing @CAPS8 when @CAPS8 was easy you will also get a better grade. @CAPS4 a big famly trip is coming up you can go online and get the trip easer then you would have , and at low price. Also you can shop @CAPS4 its a birth day of @PERSON1 you can get gifts for a very low price ever @PERCENT1 @CAPS2!!! @CAPS4 your family lives far and you dont get to see them a lot the internet is the place to gp, you could talk to them with instant messgr or you could facebook then. You could them @CAPS3 or, also you could talk to them you can see them on your screen and they can see you on their screen and @CAPS8 would be like they in the house with you, @CAPS4 the a vecation you could send them @CAPS3 and maps of werere your what go even info about the plases. Enjoy ment is the teen favort. @CAPS4 you mst your favort show you could got o @CAPS6 and sec the show for free!!! Youtube is were you could see something funny, excites, or @CAPS9 plain grose. @CAPS4 someone like @PERSON2 @CAPS9 did a asom trick and you mist @CAPS8 look @CAPS8 up . There are two tipes of games you could play games on the internet like addicting games com or play @NUM1, @CAPS7 online are play with freinds. Know you know why the internet is great @CAPS8 has games be close to your famly or even @CAPS9 get help. So chus to say you think the internet is good its your dicision.	8
