ch1,wd1,sen1,att_0,att_1,att_2,att_3,att_4,att_5,att_6,att_7,att_8,att_9,att_10,att_11,att_12,att_13,att_14,att_15,att_16,att_17,att_18,att_19,att_20,att_21,att_22,att_23,att_24,att_25,att_26,att_27,att_28,att_29,att_30,att_31,att_32,att_33,att_34,att_35,att_36,att_37,att_38,att_39,att_40,att_41,att_42,att_43,att_44,att_45,att_46,att_47,att_48,att_49,att_50,att_51,att_52,att_53,att_54,att_55,att_56,att_57,att_58,att_59,att_60,att_61,att_62,att_63,att_64,att_65,att_66,att_67,att_68,att_69,att_70,att_71,att_72,att_73,att_74,att_75,att_76,att_77,att_78,att_79,att_80,att_81,att_82,att_83,att_84,att_85,att_86,att_87,att_88,att_89,att_90,att_91,att_92,att_93,att_94,att_95,att_96,att_97,att_98,att_99,att_100,att_101,att_102,att_103,att_104,att_105,att_106,att_107,att_108,att_109,att_110,att_111,att_112,cls
1786.0,410.0,28.0,0.008,0.021,0.006,0.049,0.009,0.012,0.011,0.011,0.006,0.004,0.002,0.02,0.006,0.003,0.002,0.002,0.004,0.013,0.011,0.008,0,0.015,0.005,0.006,0.003,0.009,0.002,0,0.014,0,0.001,0.003,0.001,0,0.007,0.003,0.004,0.001,0.004,0.001,0,0.001,0.002,0.002,0.002,0.002,0.001,0.002,0.001,0,0.001,0,0.001,0,0,0,0.001,0.001,0.001,0,0.006,0.001,0.001,0,0.002,0,0.002,0,0,0,0,0,0,0,0,0,0.001,0.003,0,0,0.002,0.002,0.002,0,0,0.002,0.003,0.005,0,0,0.001,0,0,0,0,0,0,0,0.001,0,0.001,0.008,0.001,0,0,0,0,0,0,0,0,0,0,10
1446.0,328.0,28.0,0.005,0.013,0.004,0.031,0.006,0.008,0.007,0.007,0.004,0.003,0.001,0.012,0,0.001,0.001,0.001,0.003,0.008,0.007,0.005,0.001,0.01,0.003,0.004,0.002,0.006,0.001,0,0.009,0,0.001,0.002,0.001,0,0.005,0.002,0.003,0.001,0.003,0,0,0.001,0.001,0.002,0.001,0.001,0,0.002,0.001,0,0.001,0,0.001,0.001,0,0,0,0.001,0.001,0,0.004,0.001,0.002,0,0.002,0,0,0,0,0,0,0.002,0,0,0,0,0.001,0,0,0,0.001,0.003,0,0,0.001,0.002,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0.001,0,0,0,0,0,0,0,0,0,0.001,10
1862.0,407.0,24.0,0.01,0.025,0.007,0.056,0.012,0.014,0.013,0.013,0.007,0.005,0.003,0.023,0.001,0.002,0.002,0.002,0.005,0.015,0.012,0.01,0.002,0.018,0.005,0.007,0.004,0.01,0.001,0,0.016,0,0.002,0.003,0.002,0,0.008,0.004,0.005,0.001,0.004,0.001,0,0.001,0.003,0.003,0.003,0.002,0.001,0.004,0.001,0,0.004,0,0.001,0,0.001,0,0.001,0.001,0.001,0,0.007,0.001,0.002,0,0.003,0,0.001,0,0.001,0.002,0.001,0.002,0.001,0.003,0.001,0.002,0.001,0,0,0,0,0.004,0,0,0.001,0.003,0.004,0,0.001,0.001,0,0.001,0,0.001,0,0,0.001,0,0.001,0.001,0.001,0.01,0.001,0,0,0,0,0,0,0,0,0,0.002,10
1962.0,508.0,29.0,0.005,0.013,0.004,0.029,0.006,0.008,0.007,0.007,0.004,0.003,0.002,0.012,0,0.001,0.002,0.002,0.003,0.008,0.006,0.005,0.001,0.009,0.003,0.004,0.002,0.006,0,0,0.008,0.001,0.001,0.002,0.001,0.001,0.004,0.002,0.003,0.001,0,0,0,0.001,0.002,0.002,0.002,0.001,0.001,0.002,0.001,0.001,0.002,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0,0.004,0.001,0.001,0,0.001,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0.002,0,0.001,0.001,0.001,0,0,0,0.002,0,0.001,0.001,0.002,0.002,0.001,0.002,0,0,0,0,0.001,0,0,0,0,0,0.003,0.002,0.005,0.001,0,0,0,0,0,0,0,0,0,0.003,10
260.0,53.0,4.0,0.016,0.044,0.011,0.102,0.02,0.025,0.024,0.024,0.013,0.009,0.004,0.039,0.004,0.004,0.004,0.004,0.008,0.028,0.022,0.017,0.002,0.032,0.01,0.012,0.007,0.018,0.004,0.001,0.029,0,0.003,0.006,0.001,0.001,0.015,0.006,0.008,0.001,0.01,0.002,0,0.001,0.003,0.005,0.004,0.004,0.001,0.005,0.002,0,0.001,0.001,0.005,0,0.003,0,0,0.002,0.001,0.001,0.012,0.002,0.002,0.001,0.006,0,0.003,0,0.001,0,0.001,0.002,0.001,0.003,0.001,0.001,0.001,0.001,0.001,0.001,0.003,0.005,0.003,0,0.001,0.005,0.007,0.003,0.002,0.001,0.001,0.001,0,0.001,0,0.001,0.001,0.001,0.003,0,0.002,0.018,0.002,0,0.001,0.001,0,0,0,0.001,0.001,0.001,0.002,10
1388.0,319.0,25.0,0.012,0.034,0.008,0.082,0.015,0.019,0.019,0.019,0.01,0.007,0.002,0.029,0,0.002,0.003,0.004,0.007,0.022,0.018,0.013,0,0.024,0.007,0.01,0.005,0.014,0.003,0,0.023,0,0.002,0.005,0.001,0.001,0.012,0.004,0.006,0.001,0.008,0.001,0,0,0,0.004,0.004,0.003,0.001,0.002,0.001,0,0.003,0,0.001,0.001,0.001,0,0.001,0.002,0.002,0,0.011,0.002,0.002,0,0.004,0,0.004,0.001,0.003,0.002,0.002,0.001,0.003,0.007,0.003,0.003,0,0.002,0.001,0.001,0.006,0.003,0.004,0,0.001,0.003,0.005,0.001,0,0,0.001,0.001,0,0,0,0.001,0.001,0.001,0.001,0,0.001,0.014,0.002,0.001,0.001,0.001,0.001,0,0.001,0.002,0.001,0.001,0.001,8
2048.0,435.0,25.0,0.008,0.021,0.006,0.047,0.009,0.011,0.011,0.011,0.006,0.005,0.002,0.019,0,0.002,0.002,0.003,0.004,0.013,0.01,0.008,0,0.015,0.005,0.006,0.004,0.009,0,0.001,0.013,0.001,0.002,0.003,0.001,0,0.007,0.003,0.004,0.001,0.002,0,0.001,0.001,0.002,0.003,0.003,0.002,0.001,0.003,0.001,0.001,0.001,0.001,0.002,0.002,0.001,0.001,0.002,0.002,0.002,0,0.007,0.001,0,0,0.002,0.001,0.001,0.001,0,0.001,0,0,0,0,0,0,0.001,0.001,0,0,0.002,0.002,0.002,0.001,0.001,0.002,0.003,0,0.002,0,0.001,0,0.001,0.001,0,0,0,0.001,0,0.004,0.001,0.008,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001,0.001,0,12
1995.0,485.0,36.0,0.004,0.011,0.003,0.024,0.005,0.006,0.006,0.006,0.003,0.003,0.001,0.01,0.001,0.001,0.001,0.001,0.002,0.007,0.005,0.004,0.001,0.008,0.003,0.003,0.002,0.005,0,0.001,0.007,0.001,0.001,0.002,0.001,0,0.004,0.002,0.002,0.001,0.001,0,0.001,0.001,0.001,0.002,0.002,0.001,0.001,0.002,0.001,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0,0.003,0.001,0.002,0,0.001,0,0.001,0,0,0.001,0,0.001,0,0.001,0,0.001,0.001,0,0.001,0,0.001,0.002,0,0.001,0.001,0.001,0.002,0.001,0.001,0,0,0,0,0.001,0,0,0,0.001,0,0.002,0.002,0.004,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001,10
1530.0,373.0,20.0,0.008,0.021,0.006,0.048,0.009,0.011,0.011,0.011,0.006,0.004,0.002,0.019,0,0.002,0.002,0.002,0.004,0.013,0.01,0.008,0,0.015,0.005,0.006,0.003,0.008,0.001,0,0.014,0,0.001,0.003,0.001,0,0.007,0.003,0.004,0.001,0.004,0.001,0,0.001,0.003,0.002,0.002,0.001,0.001,0.003,0.001,0,0.003,0,0.001,0,0.001,0,0.001,0.001,0.001,0,0.006,0.001,0.001,0,0.002,0,0.002,0,0.001,0.001,0.001,0,0,0.002,0,0.001,0.001,0.001,0,0,0.004,0.001,0.002,0,0,0.002,0.003,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0.001,0.008,0.001,0,0,0,0,0,0,0,0,0,0.001,8
1440.0,370.0,14.0,0.005,0.013,0.003,0.03,0.006,0.008,0.007,0.007,0.004,0.003,0.001,0.012,0,0.001,0.001,0.002,0.003,0.008,0.006,0.005,0.001,0.009,0.003,0.004,0.002,0.006,0.001,0,0.008,0,0.001,0.002,0,0,0.004,0.002,0.002,0.001,0.002,0,0,0.001,0.001,0.002,0.002,0.001,0,0.002,0.001,0,0,0,0,0.001,0,0,0.001,0.001,0.001,0,0.004,0.001,0.001,0,0.001,0,0,0,0,0,0,0.001,0,0,0,0,0.001,0.001,0,0,0,0.002,0,0.001,0.001,0.002,0.002,0,0.001,0,0,0,0,0.001,0,0,0,0,0,0.001,0.002,0.005,0.001,0,0,0,0,0,0,0,0,0,0.001,8
